person_id,race,gender,skin_color,age_group,clothing_style,height,voice_pitch,age_years,has_glasses,has_hat,is_smiling,movement_speed,body_language
P_000037,Asian,Male,Dark,Senior,Alternative,Short,Medium,77,False,False,False,Normal,Relaxed
P_000038,Native American,Male,Light,Senior,Casual,Tall,High,34,False,False,False,Normal,Relaxed
P_000039,Asian,Male,Light,Child,Athletic,Short,Low,32,False,False,True,Fast,Nervous
P_000040,Middle Eastern,Non-binary,Light,Middle-aged,Casual,Tall,High,57,False,False,True,Normal,Tense
P_000041,Native American,Female,Dark,Senior,Athletic,Tall,High,79,True,True,False,Slow,Relaxed
P_000042,Native American,Female,Dark,Senior,Formal,Short,Medium,31,False,True,True,Fast,Nervous
P_000043,Middle Eastern,Female,Light,Middle-aged,Casual,Tall,Low,49,False,False,True,Slow,Nervous
P_000044,Native American,Non-binary,Dark,Teen,Formal,Tall,Low,71,True,False,True,Slow,Confident
P_000045,White,Non-binary,Medium,Senior,Traditional,Average,High,67,False,True,True,Slow,Tense
P_000046,Black,Male,Light,Senior,Alternative,Average,High,79,False,False,False,Slow,Tense
P_000047,White,Non-binary,Light,Child,Alternative,Average,Medium,7,False,True,True,Normal,Nervous
P_000048,Hispanic,Female,Light,Middle-aged,Traditional,Average,Medium,64,False,True,False,Fast,Tense
P_000049,White,Male,Light,Middle-aged,Alternative,Short,High,50,True,False,True,Slow,Confident
P_000050,White,Female,Light,Teen,Athletic,Short,High,37,False,False,False,Fast,Relaxed
P_000051,Black,Female,Dark,Young Adult,Athletic,Short,High,37,False,False,True,Fast,Tense
P_000052,Hispanic,Male,Light,Senior,Athletic,Short,Low,57,False,False,True,Normal,Relaxed
P_000053,Native American,Non-binary,Light,Senior,Alternative,Average,High,36,True,False,True,Normal,Tense
P_000054,Native American,Non-binary,Medium,Young Adult,Formal,Short,Medium,9,True,False,True,Fast,Confident
P_000055,Middle Eastern,Female,Light,Teen,Athletic,Tall,Low,42,False,False,False,Normal,Tense
P_000056,Asian,Female,Light,Middle-aged,Casual,Average,High,34,False,False,False,Normal,Nervous
P_000057,White,Male,Light,Teen,Alternative,Average,High,47,True,True,True,Fast,Nervous
P_000058,Asian,Male,Medium,Young Adult,Athletic,Tall,High,36,True,True,True,Slow,Tense
P_000059,Hispanic,Male,Medium,Senior,Casual,Short,High,16,True,False,True,Slow,Confident
P_000060,White,Non-binary,Light,Child,Athletic,Tall,High,30,False,True,True,Fast,Confident
P_000061,Native American,Female,Medium,Middle-aged,Formal,Short,Medium,18,True,True,False,Fast,Tense
P_000062,Asian,Male,Medium,Teen,Formal,Average,Low,19,True,False,True,Fast,Relaxed
P_000063,White,Female,Light,Middle-aged,Casual,Short,High,29,False,False,True,Fast,Nervous
P_000064,Native American,Non-binary,Medium,Child,Traditional,Tall,Medium,45,False,False,False,Fast,Nervous
P_000065,Asian,Male,Dark,Child,Casual,Short,Medium,25,True,False,True,Fast,Tense
P_000066,Native American,Non-binary,Medium,Child,Athletic,Tall,Low,44,False,False,False,Fast,Nervous
P_000067,Native American,Male,Medium,Young Adult,Casual,Average,Low,79,False,False,False,Normal,Tense
P_000068,Native American,Male,Dark,Middle-aged,Casual,Tall,High,18,True,False,True,Slow,Confident
P_000069,Asian,Female,Light,Teen,Alternative,Tall,Medium,48,True,False,True,Fast,Relaxed
P_000070,White,Non-binary,Medium,Young Adult,Casual,Short,Medium,64,False,True,False,Slow,Tense
P_000071,Hispanic,Non-binary,Dark,Child,Traditional,Short,Low,18,False,False,True,Fast,Confident
P_000072,Native American,Female,Medium,Middle-aged,Casual,Short,Medium,22,False,False,True,Fast,Relaxed
P_000073,Native American,Non-binary,Light,Child,Casual,Short,High,70,False,False,False,Fast,Tense
P_000074,Native American,Non-binary,Dark,Young Adult,Formal,Tall,Low,33,False,False,True,Slow,Tense
P_000075,White,Male,Light,Young Adult,Casual,Average,Medium,70,False,False,True,Normal,Relaxed
P_000076,Hispanic,Non-binary,Light,Senior,Alternative,Short,Low,72,False,False,False,Fast,Nervous
P_000077,Hispanic,Non-binary,Medium,Young Adult,Alternative,Tall,Medium,78,False,False,True,Normal,Tense
P_000078,Asian,Male,Medium,Teen,Casual,Short,Low,64,False,True,False,Slow,Nervous
P_000079,Middle Eastern,Female,Dark,Child,Traditional,Tall,Medium,13,False,False,False,Normal,Confident
P_000080,White,Male,Light,Teen,Traditional,Average,Low,61,False,False,True,Fast,Relaxed
P_000081,White,Female,Medium,Middle-aged,Casual,Short,Medium,45,True,False,False,Normal,Tense
P_000082,Black,Non-binary,Dark,Child,Athletic,Tall,Low,55,True,False,True,Slow,Nervous
P_000083,White,Non-binary,Light,Young Adult,Formal,Average,High,53,True,False,True,Normal,Tense
P_000084,Hispanic,Male,Dark,Child,Casual,Short,Medium,55,True,False,True,Slow,Relaxed
P_000085,Middle Eastern,Female,Light,Young Adult,Formal,Short,Medium,51,False,False,True,Normal,Tense
P_000086,Asian,Male,Medium,Senior,Athletic,Average,Medium,38,False,True,True,Normal,Confident
P_000087,Middle Eastern,Male,Light,Young Adult,Athletic,Tall,High,76,True,False,True,Slow,Nervous
P_000088,Black,Female,Dark,Young Adult,Traditional,Short,Medium,18,True,False,True,Fast,Relaxed
P_000089,Middle Eastern,Male,Dark,Young Adult,Traditional,Short,Medium,6,False,False,True,Fast,Tense
P_000090,Asian,Male,Medium,Senior,Casual,Average,High,48,True,False,False,Slow,Tense
P_000091,Native American,Female,Dark,Child,Formal,Tall,High,18,False,False,True,Slow,Tense
P_000092,Native American,Female,Dark,Middle-aged,Formal,Average,High,41,True,False,True,Slow,Tense
P_000093,Black,Male,Dark,Teen,Traditional,Tall,High,31,False,False,True,Slow,Relaxed
P_000094,Middle Eastern,Female,Dark,Senior,Casual,Average,High,66,False,True,True,Fast,Relaxed
P_000095,Asian,Non-binary,Light,Teen,Alternative,Short,Low,44,False,False,False,Fast,Tense
P_000096,Black,Female,Dark,Senior,Casual,Average,Low,24,True,False,False,Fast,Relaxed
P_000097,Asian,Female,Medium,Teen,Alternative,Short,High,44,False,False,False,Normal,Relaxed
P_000098,Asian,Male,Dark,Middle-aged,Traditional,Tall,Medium,16,False,True,False,Slow,Relaxed
P_000099,Black,Male,Dark,Middle-aged,Athletic,Tall,High,74,False,False,False,Fast,Tense
P_000100,White,Non-binary,Medium,Teen,Casual,Tall,Medium,11,True,False,True,Normal,Confident
P_000101,Middle Eastern,Non-binary,Medium,Middle-aged,Athletic,Average,Low,21,False,False,True,Slow,Tense
P_000102,Asian,Female,Medium,Middle-aged,Casual,Short,Medium,29,False,False,True,Normal,Tense
P_000103,Asian,Female,Dark,Young Adult,Alternative,Short,Medium,36,False,True,True,Slow,Tense
P_000104,White,Male,Light,Middle-aged,Casual,Tall,High,14,True,False,True,Slow,Tense
P_000105,White,Female,Light,Teen,Traditional,Average,Medium,41,True,True,False,Slow,Confident
P_000106,White,Non-binary,Light,Teen,Alternative,Short,High,47,False,False,False,Fast,Tense
P_000107,Middle Eastern,Male,Medium,Middle-aged,Traditional,Tall,High,67,True,False,True,Fast,Tense
P_000108,White,Male,Light,Teen,Athletic,Average,High,9,False,False,True,Normal,Relaxed
P_000109,Middle Eastern,Female,Dark,Young Adult,Formal,Average,Medium,21,True,False,True,Slow,Confident
P_000110,White,Female,Light,Senior,Formal,Tall,High,60,True,True,False,Slow,Tense
P_000111,Hispanic,Male,Medium,Child,Alternative,Tall,Low,42,True,False,True,Normal,Relaxed
P_000112,Hispanic,Male,Light,Senior,Casual,Average,High,66,False,False,True,Normal,Nervous
P_000113,Asian,Male,Dark,Young Adult,Traditional,Short,Low,63,True,False,True,Slow,Tense
P_000114,Hispanic,Non-binary,Dark,Middle-aged,Alternative,Tall,High,62,False,False,True,Fast,Relaxed
P_000115,Native American,Non-binary,Dark,Teen,Traditional,Average,Medium,16,True,False,False,Slow,Relaxed
P_000116,White,Female,Light,Middle-aged,Alternative,Tall,Medium,34,True,False,False,Fast,Tense
P_000117,Middle Eastern,Female,Light,Middle-aged,Traditional,Average,Low,68,False,True,True,Slow,Tense
P_000118,Black,Female,Medium,Teen,Alternative,Tall,Low,56,False,True,True,Normal,Confident
P_000119,Asian,Non-binary,Medium,Teen,Formal,Average,Medium,33,False,True,False,Fast,Confident
P_000120,Middle Eastern,Non-binary,Light,Middle-aged,Formal,Tall,Medium,26,True,False,False,Slow,Relaxed
P_000121,Middle Eastern,Female,Dark,Young Adult,Casual,Short,Low,5,False,False,False,Fast,Nervous
P_000122,White,Female,Light,Middle-aged,Athletic,Average,High,21,True,True,True,Normal,Nervous
P_000123,Asian,Male,Medium,Middle-aged,Formal,Tall,Medium,19,False,True,True,Slow,Tense
P_000124,White,Female,Light,Senior,Alternative,Average,Low,68,False,True,True,Normal,Tense
P_000125,Native American,Male,Dark,Child,Casual,Average,High,12,False,False,True,Slow,Tense
P_000126,Native American,Male,Medium,Teen,Formal,Short,Medium,37,False,True,False,Normal,Tense
P_000127,Black,Female,Dark,Teen,Formal,Tall,Medium,48,True,False,False,Normal,Relaxed
P_000128,Native American,Non-binary,Light,Child,Formal,Average,Medium,66,False,False,False,Normal,Tense
P_000129,Native American,Non-binary,Medium,Young Adult,Casual,Average,Medium,79,False,False,False,Slow,Relaxed
P_000130,Asian,Non-binary,Medium,Middle-aged,Alternative,Short,Low,57,False,False,True,Normal,Confident
P_000131,Native American,Male,Light,Young Adult,Athletic,Average,Low,39,True,False,True,Fast,Nervous
P_000132,White,Non-binary,Medium,Teen,Alternative,Short,Medium,24,False,False,True,Slow,Nervous
P_000133,Black,Female,Dark,Teen,Traditional,Average,Low,46,False,False,True,Fast,Relaxed
P_000134,Black,Non-binary,Dark,Child,Athletic,Average,Medium,46,True,False,True,Slow,Tense
P_000135,Middle Eastern,Female,Light,Middle-aged,Alternative,Tall,Medium,6,True,False,True,Normal,Confident
P_000136,Middle Eastern,Non-binary,Light,Child,Traditional,Short,Low,51,True,False,True,Normal,Relaxed
P_000137,Black,Male,Dark,Child,Alternative,Tall,High,61,True,True,True,Slow,Confident
P_000138,Middle Eastern,Male,Light,Child,Traditional,Tall,Low,10,True,True,True,Normal,Relaxed
P_000139,Middle Eastern,Male,Medium,Child,Athletic,Average,High,63,False,False,True,Normal,Nervous
P_000140,Middle Eastern,Non-binary,Medium,Young Adult,Formal,Short,Medium,33,False,False,True,Normal,Confident
P_000141,Hispanic,Non-binary,Medium,Senior,Traditional,Average,Medium,12,False,True,False,Normal,Relaxed
P_000142,Native American,Female,Dark,Child,Formal,Tall,Medium,34,False,False,False,Slow,Nervous
P_000143,Asian,Female,Dark,Middle-aged,Casual,Short,Low,35,False,False,False,Normal,Tense
P_000144,Hispanic,Female,Medium,Child,Casual,Short,High,52,False,True,True,Fast,Nervous
P_000145,Black,Female,Dark,Middle-aged,Athletic,Average,Medium,17,False,False,False,Normal,Tense
P_000146,White,Male,Light,Middle-aged,Formal,Tall,Low,25,False,False,True,Slow,Confident
P_000147,Hispanic,Female,Medium,Young Adult,Athletic,Average,Medium,78,False,False,True,Normal,Tense
P_000148,Hispanic,Male,Light,Teen,Casual,Short,Medium,52,False,False,False,Fast,Tense
P_000149,Native American,Non-binary,Medium,Young Adult,Alternative,Short,Low,51,True,False,False,Fast,Confident
P_000150,Hispanic,Male,Light,Young Adult,Formal,Average,High,72,True,False,True,Fast,Nervous
P_000151,Asian,Female,Medium,Middle-aged,Formal,Average,High,8,False,False,True,Normal,Confident
P_000152,Middle Eastern,Non-binary,Dark,Child,Formal,Short,Medium,60,False,False,False,Slow,Nervous
P_000153,Middle Eastern,Non-binary,Medium,Young Adult,Alternative,Tall,Medium,25,False,False,True,Normal,Nervous
P_000154,Black,Female,Dark,Child,Formal,Tall,High,72,True,False,True,Normal,Relaxed
P_000155,Black,Female,Dark,Child,Formal,Short,Low,53,False,False,True,Slow,Tense
P_000156,Middle Eastern,Non-binary,Dark,Middle-aged,Athletic,Average,High,61,False,False,True,Slow,Tense
P_000157,Asian,Male,Medium,Child,Casual,Tall,Low,28,True,True,False,Normal,Nervous
P_000158,Middle Eastern,Male,Medium,Child,Traditional,Tall,High,12,False,False,False,Slow,Relaxed
P_000159,Hispanic,Male,Medium,Middle-aged,Athletic,Short,Medium,76,False,False,True,Fast,Tense
P_000160,Native American,Non-binary,Medium,Middle-aged,Formal,Average,High,39,False,False,True,Normal,Nervous
P_000161,Middle Eastern,Male,Light,Child,Formal,Average,Medium,59,False,False,False,Fast,Nervous
P_000162,Native American,Non-binary,Light,Middle-aged,Athletic,Average,High,69,False,False,False,Normal,Nervous
P_000163,White,Female,Light,Middle-aged,Formal,Short,Medium,40,False,False,True,Slow,Tense
P_000164,Asian,Male,Medium,Young Adult,Athletic,Average,Low,30,False,False,False,Fast,Confident
P_000165,Native American,Female,Light,Middle-aged,Casual,Average,Medium,49,False,False,False,Normal,Confident
P_000166,Hispanic,Male,Medium,Senior,Athletic,Average,Low,6,True,False,True,Normal,Relaxed
P_000167,Black,Female,Medium,Child,Traditional,Tall,Medium,69,False,False,True,Fast,Confident
P_000168,White,Male,Medium,Senior,Formal,Short,Medium,72,True,False,True,Slow,Confident
P_000169,Native American,Male,Medium,Middle-aged,Alternative,Tall,Medium,6,False,True,True,Fast,Tense
P_000170,Black,Female,Medium,Young Adult,Formal,Short,Low,60,True,False,True,Slow,Relaxed
P_000171,Hispanic,Female,Medium,Young Adult,Traditional,Short,Low,44,False,False,True,Normal,Confident
P_000172,Black,Non-binary,Medium,Senior,Athletic,Tall,Low,18,True,False,False,Fast,Tense
P_000173,Native American,Male,Dark,Senior,Formal,Tall,Medium,43,False,False,False,Slow,Relaxed
P_000174,Middle Eastern,Male,Medium,Senior,Traditional,Short,Low,64,False,False,True,Slow,Tense
P_000175,Native American,Female,Medium,Young Adult,Casual,Short,High,42,False,False,True,Slow,Nervous
P_000176,White,Female,Medium,Middle-aged,Alternative,Short,Medium,62,True,False,False,Fast,Tense
P_000177,Asian,Male,Medium,Child,Traditional,Tall,High,73,False,False,False,Slow,Nervous
P_000178,White,Male,Medium,Senior,Athletic,Tall,High,9,False,False,True,Fast,Nervous
P_000179,Asian,Non-binary,Medium,Young Adult,Formal,Short,High,12,True,True,True,Slow,Confident
P_000180,White,Non-binary,Dark,Teen,Athletic,Short,Medium,72,False,False,True,Normal,Confident
P_000181,Black,Non-binary,Dark,Teen,Alternative,Short,Low,20,False,False,True,Fast,Relaxed
P_000182,Black,Male,Medium,Young Adult,Traditional,Average,High,26,True,False,False,Fast,Tense
P_000183,White,Non-binary,Light,Teen,Casual,Short,Low,22,False,False,False,Normal,Nervous
P_000184,Native American,Non-binary,Dark,Middle-aged,Athletic,Average,Medium,26,False,False,True,Slow,Confident
P_000185,Hispanic,Female,Dark,Young Adult,Traditional,Short,Medium,47,False,False,False,Normal,Confident
P_000186,Middle Eastern,Non-binary,Medium,Middle-aged,Casual,Short,Low,12,False,True,True,Slow,Confident
P_000187,White,Non-binary,Light,Teen,Formal,Tall,High,14,False,False,False,Normal,Relaxed
P_000188,Middle Eastern,Female,Light,Teen,Formal,Average,Medium,16,False,False,False,Slow,Nervous
P_000189,Asian,Non-binary,Medium,Young Adult,Alternative,Average,Low,8,False,False,True,Slow,Tense
P_000190,Middle Eastern,Non-binary,Medium,Senior,Formal,Average,Medium,8,True,False,True,Fast,Nervous
P_000191,Middle Eastern,Non-binary,Medium,Senior,Formal,Tall,Medium,28,False,False,True,Fast,Relaxed
P_000192,Native American,Female,Dark,Senior,Traditional,Average,Medium,35,False,False,True,Normal,Confident
P_000193,White,Female,Light,Middle-aged,Casual,Tall,Low,51,False,False,False,Slow,Tense
P_000194,Hispanic,Non-binary,Dark,Middle-aged,Athletic,Tall,High,20,True,False,False,Fast,Relaxed
P_000195,Asian,Female,Light,Senior,Casual,Tall,High,55,False,False,True,Fast,Relaxed
P_000196,Middle Eastern,Male,Light,Senior,Formal,Short,Medium,8,True,False,False,Slow,Nervous
P_000197,Native American,Female,Light,Middle-aged,Traditional,Short,Low,28,False,True,True,Normal,Tense
P_000198,Native American,Non-binary,Dark,Middle-aged,Formal,Average,Low,74,True,False,True,Normal,Tense
P_000199,Asian,Female,Medium,Child,Athletic,Tall,Medium,19,True,False,False,Fast,Nervous
P_000200,Middle Eastern,Female,Medium,Middle-aged,Casual,Short,Medium,25,True,False,True,Slow,Confident
P_000201,Asian,Male,Dark,Senior,Casual,Short,Medium,72,False,True,False,Slow,Relaxed
P_000202,Middle Eastern,Female,Light,Middle-aged,Formal,Tall,High,43,False,False,True,Normal,Tense
P_000203,White,Male,Light,Teen,Casual,Average,Medium,20,False,False,True,Fast,Nervous
P_000204,Native American,Female,Dark,Young Adult,Athletic,Tall,High,68,False,False,True,Normal,Nervous
P_000205,Native American,Male,Dark,Middle-aged,Traditional,Average,Low,44,False,False,True,Slow,Nervous
P_000206,Native American,Male,Dark,Teen,Traditional,Tall,Medium,43,False,False,True,Fast,Relaxed
P_000207,Asian,Female,Medium,Middle-aged,Traditional,Short,High,76,False,False,False,Normal,Tense
P_000208,Hispanic,Female,Medium,Young Adult,Alternative,Tall,Low,44,False,False,True,Slow,Nervous
P_000209,Hispanic,Male,Dark,Middle-aged,Athletic,Short,Low,50,False,False,True,Slow,Relaxed
P_000210,Native American,Female,Light,Middle-aged,Traditional,Average,Medium,63,True,True,True,Slow,Nervous
P_000211,White,Female,Medium,Senior,Athletic,Short,High,13,False,False,False,Slow,Confident
P_000212,Black,Male,Dark,Senior,Formal,Average,Low,34,True,False,False,Normal,Relaxed
P_000213,Middle Eastern,Female,Dark,Child,Athletic,Tall,Medium,62,False,False,True,Slow,Relaxed
P_000214,Hispanic,Female,Dark,Young Adult,Athletic,Short,High,20,True,False,True,Fast,Confident
P_000215,Native American,Male,Light,Young Adult,Traditional,Average,High,51,False,False,True,Slow,Relaxed
P_000216,Native American,Male,Medium,Child,Athletic,Short,Low,10,False,False,True,Normal,Tense
P_000217,Native American,Female,Light,Young Adult,Athletic,Average,Low,29,False,True,False,Normal,Nervous
P_000218,White,Non-binary,Light,Young Adult,Formal,Tall,High,32,True,False,False,Fast,Nervous
P_000219,White,Non-binary,Light,Middle-aged,Alternative,Short,High,34,True,False,True,Normal,Confident
P_000220,Middle Eastern,Male,Dark,Young Adult,Casual,Tall,Medium,45,False,False,True,Normal,Relaxed
P_000221,Native American,Non-binary,Dark,Teen,Alternative,Tall,High,73,True,False,True,Slow,Relaxed
P_000222,White,Non-binary,Medium,Child,Formal,Short,High,51,True,False,True,Fast,Relaxed
P_000223,Asian,Male,Dark,Senior,Athletic,Average,High,33,False,False,True,Normal,Nervous
P_000224,Middle Eastern,Female,Dark,Middle-aged,Formal,Average,Low,59,False,False,True,Normal,Relaxed
P_000225,Black,Female,Dark,Teen,Athletic,Tall,Medium,69,False,False,False,Normal,Confident
P_000226,Middle Eastern,Male,Light,Senior,Casual,Average,High,66,False,False,True,Fast,Relaxed
P_000227,Middle Eastern,Female,Light,Teen,Athletic,Average,Medium,13,False,False,False,Slow,Confident
P_000228,Asian,Male,Medium,Senior,Athletic,Average,Low,15,True,False,True,Fast,Nervous
P_000229,Middle Eastern,Male,Light,Middle-aged,Alternative,Short,High,73,True,False,True,Slow,Confident
P_000230,White,Female,Light,Teen,Formal,Average,High,40,False,True,True,Slow,Relaxed
P_000231,Hispanic,Non-binary,Medium,Child,Formal,Tall,High,78,False,False,True,Normal,Confident
P_000232,Native American,Male,Light,Middle-aged,Athletic,Average,Low,6,False,False,False,Normal,Relaxed
P_000233,White,Non-binary,Light,Young Adult,Casual,Tall,High,66,False,False,False,Slow,Tense
P_000234,Hispanic,Female,Light,Young Adult,Formal,Tall,High,77,False,False,True,Normal,Nervous
P_000235,Asian,Non-binary,Medium,Child,Athletic,Average,Low,61,True,False,True,Normal,Nervous
P_000236,Hispanic,Non-binary,Light,Middle-aged,Alternative,Short,High,51,True,True,False,Fast,Confident
P_000237,Asian,Male,Medium,Child,Alternative,Average,Medium,69,True,True,False,Normal,Nervous
P_000238,Asian,Male,Medium,Middle-aged,Formal,Tall,Medium,68,False,False,True,Slow,Confident
P_000239,Middle Eastern,Female,Medium,Senior,Formal,Short,High,46,False,False,True,Normal,Nervous
P_000240,White,Male,Dark,Young Adult,Traditional,Short,High,26,False,True,True,Normal,Relaxed
P_000241,Native American,Non-binary,Light,Young Adult,Athletic,Average,Medium,36,False,True,True,Fast,Nervous
P_000242,Middle Eastern,Non-binary,Dark,Middle-aged,Athletic,Short,Low,28,False,True,False,Fast,Relaxed
P_000243,White,Female,Medium,Child,Formal,Tall,High,12,True,False,True,Fast,Confident
P_000244,Asian,Non-binary,Dark,Senior,Traditional,Average,High,15,False,True,False,Slow,Tense
P_000245,Black,Male,Dark,Young Adult,Athletic,Average,Medium,59,False,False,True,Fast,Confident
P_000246,Asian,Male,Medium,Young Adult,Formal,Short,Low,57,False,False,False,Fast,Confident
P_000247,Hispanic,Male,Dark,Young Adult,Casual,Short,High,76,True,False,True,Slow,Confident
P_000248,Native American,Non-binary,Light,Teen,Alternative,Average,Low,71,False,True,True,Normal,Relaxed
P_000249,Asian,Male,Medium,Young Adult,Athletic,Average,Medium,75,True,True,True,Slow,Relaxed
P_000250,Middle Eastern,Male,Light,Middle-aged,Casual,Tall,High,40,False,True,True,Normal,Tense
P_000251,Native American,Non-binary,Medium,Young Adult,Athletic,Tall,Medium,64,False,False,True,Fast,Confident
P_000252,Native American,Male,Medium,Teen,Formal,Average,Medium,70,False,False,True,Normal,Confident
P_000253,Asian,Female,Dark,Young Adult,Alternative,Tall,High,43,True,False,False,Slow,Confident
P_000254,Middle Eastern,Male,Dark,Child,Casual,Tall,Low,36,False,False,False,Normal,Tense
P_000255,Black,Male,Dark,Middle-aged,Alternative,Tall,Low,12,True,False,True,Normal,Nervous
P_000256,Black,Male,Dark,Middle-aged,Casual,Tall,High,30,False,False,False,Normal,Nervous
P_000257,White,Male,Light,Senior,Traditional,Tall,High,69,True,False,False,Normal,Confident
P_000258,Asian,Male,Medium,Middle-aged,Athletic,Short,High,62,True,False,False,Slow,Nervous
P_000259,Black,Male,Medium,Senior,Athletic,Short,High,37,True,True,False,Slow,Tense
P_000260,White,Non-binary,Light,Young Adult,Traditional,Short,Medium,21,False,False,True,Slow,Confident
P_000261,Black,Non-binary,Dark,Middle-aged,Casual,Tall,High,17,False,False,False,Slow,Relaxed
P_000262,Native American,Female,Dark,Child,Traditional,Short,Low,49,True,False,False,Normal,Confident
P_000263,Hispanic,Male,Medium,Middle-aged,Casual,Short,Low,17,True,True,True,Fast,Relaxed
P_000264,Black,Male,Light,Teen,Casual,Average,Medium,39,False,False,True,Normal,Nervous
P_000265,Middle Eastern,Male,Dark,Middle-aged,Formal,Average,Medium,69,False,False,False,Normal,Nervous
P_000266,Asian,Female,Medium,Young Adult,Casual,Average,High,10,False,False,True,Fast,Tense
P_000267,Hispanic,Female,Light,Middle-aged,Athletic,Short,High,11,False,False,True,Slow,Confident
P_000268,White,Male,Light,Young Adult,Traditional,Tall,High,33,True,False,False,Fast,Nervous
P_000269,Black,Male,Dark,Senior,Traditional,Average,Low,19,False,False,True,Normal,Nervous
P_000270,Black,Male,Dark,Teen,Athletic,Short,Low,15,False,False,False,Fast,Nervous
P_000271,Asian,Male,Medium,Middle-aged,Traditional,Short,Low,35,False,True,True,Slow,Nervous
P_000272,Hispanic,Non-binary,Light,Child,Formal,Average,Low,19,False,False,False,Normal,Tense
P_000273,Native American,Female,Medium,Teen,Formal,Average,High,7,True,False,True,Fast,Nervous
P_000274,White,Non-binary,Light,Senior,Formal,Tall,Low,32,False,True,False,Fast,Tense
P_000275,Native American,Non-binary,Light,Senior,Casual,Average,Low,59,True,True,True,Fast,Relaxed
P_000276,Asian,Male,Medium,Young Adult,Athletic,Short,Medium,38,False,True,True,Fast,Tense
P_000277,White,Male,Light,Young Adult,Traditional,Average,Medium,48,True,True,True,Normal,Confident
P_000278,Asian,Female,Light,Middle-aged,Formal,Tall,Low,26,False,True,True,Slow,Relaxed
