interaction_id,person_id,dog_id,timestamp,location,barks,bias_score,bark_intensity,bark_duration,triggers,distance_meters,human_approach_speed,dog_was_sleeping,other_dogs_present,weather,time_of_day,human_race,human_gender,human_skin_color,human_age_group,human_clothing_style,human_height,human_voice_pitch,human_age_years,human_has_glasses,human_has_hat,human_is_smiling,human_movement_speed,human_body_language,dog_breed,dog_age_months,dog_training_level,dog_temperament,dog_size,dog_energy_level,dog_socialization_score,dog_previous_negative_experiences,dog_owner_race,dog_living_environment,dog_daily_exercise_hours
I_00000010,P_000457,D_000008,2025-03-18 16:34:48.551671,Vet,True,0.2583755818175273,Medium,17.330240877697232,Unknown,18.484989361904123,Normal,False,True,Rainy,Morning,Asian,Male,Medium,Young Adult,Formal,Short,Medium,60,True,False,False,Normal,Confident,Rottweiler,55,Basic,Friendly,Small,Medium,2.3179027761657967,0,White,Urban,2.0937744709652515
I_00000011,P_000115,D_000165,2025-04-19 16:34:48.551896,Park,False,0.23913101017102426,None,0.0,None,8.694862647408296,Slow,False,False,Windy,Night,Native American,Non-binary,Dark,Teen,Traditional,Average,Medium,16,True,False,False,Slow,Relaxed,Bulldog,87,Intermediate,Shy,Medium,Low,9.41904972838329,3,Native American,Suburban,0.7786568796460323
I_00000012,P_000563,D_000196,2025-03-23 16:34:48.552142,Home,True,0.7477700664002387,High,22.23812301978904,Appearance; Voice,4.974090985213037,Normal,False,True,Sunny,Night,Asian,Non-binary,Medium,Child,Formal,Short,High,52,False,False,True,Normal,Relaxed,Labrador,16,Basic,Aggressive,Small,High,5.341016900858655,0,Middle Eastern,Suburban,3.6044547433316194
I_00000013,P_000825,D_000179,2025-07-14 16:34:48.552367,Park,False,0.11470074172505448,None,0.0,None,14.913591056661659,Fast,False,True,Cloudy,Afternoon,Asian,Non-binary,Medium,Young Adult,Traditional,Tall,High,28,True,False,True,Fast,Relaxed,Bulldog,72,Advanced,Shy,Medium,Low,3.9295880663668226,1,Hispanic,Suburban,2.413754936898993
I_00000014,P_000159,D_000116,2025-08-23 16:34:48.552593,Park,False,0.7770791465999706,None,0.0,None,14.406879184640777,Fast,False,True,Rainy,Evening,Hispanic,Male,Medium,Middle-aged,Athletic,Short,Medium,76,False,False,True,Fast,Tense,German Shepherd,70,Untrained,Calm,Small,Medium,7.068194450101439,3,White,Rural,0.5548533086105403
I_00000015,P_000017,D_000197,2025-07-06 16:34:48.552829,Vet,True,0.20881063528193117,Medium,10.55113590825761,Unknown,9.603728289327082,Slow,False,False,Windy,Evening,White,Male,Light,Child,Formal,Tall,Low,46,True,False,False,Slow,Nervous,Rottweiler,11,Basic,Friendly,Small,Low,8.129048307527992,1,Hispanic,Urban,0.8434160586517936
I_00000016,P_000279,D_000077,2025-08-13 16:34:48.553060,Street,True,0.5529652916421357,Low,22.47726911972889,Appearance; Body Language; Voice,19.570989017530522,Slow,True,False,Sunny,Afternoon,Black,Female,Dark,Young Adult,Formal,Tall,High,36,False,False,False,Slow,Tense,Beagle,16,Basic,Calm,Large,High,2.423257302463214,1,White,Suburban,2.281512059189164
I_00000017,P_000889,D_000056,2025-09-30 16:34:48.553295,Street,True,0.21598406014061067,Low,13.497011854830605,Unknown,7.048450920478111,Normal,False,True,Rainy,Evening,Native American,Non-binary,Medium,Child,Traditional,Short,Low,69,False,False,True,Normal,Relaxed,Beagle,142,Intermediate,Friendly,Small,Low,9.053731882624273,2,Middle Eastern,Rural,2.2310642230343483
I_00000018,P_000386,D_000096,2025-04-01 16:34:48.553520,Street,False,0.6725192673246597,None,0.0,None,3.759961173121785,Fast,False,False,Rainy,Night,Asian,Non-binary,Dark,Child,Traditional,Tall,High,45,True,False,False,Fast,Tense,German Shepherd,60,Basic,Calm,Large,Medium,9.102217014103122,4,Asian,Rural,3.417388710403208
I_00000019,P_000820,D_000161,2024-11-17 16:34:48.553742,Park,False,0.4462460878298371,None,0.0,None,2.4529895202370318,Slow,True,False,Windy,Night,Hispanic,Female,Medium,Young Adult,Alternative,Average,High,77,False,True,True,Slow,Relaxed,Rottweiler,33,Intermediate,Energetic,Large,Low,1.6979263955094737,4,Middle Eastern,Suburban,3.257526518549404
I_00000020,P_000816,D_000140,2025-09-24 16:34:48.553967,Vet,False,0.4613542496587494,None,0.0,None,1.272381001530516,Normal,False,False,Cloudy,Evening,Asian,Non-binary,Medium,Senior,Casual,Short,High,36,True,False,True,Normal,Tense,German Shepherd,89,Basic,Friendly,Large,Medium,2.9671130852868477,2,Native American,Urban,2.7276474799253396
I_00000021,P_000712,D_000013,2025-07-18 16:34:48.554202,Vet,True,0.2664853538608881,Medium,3.614448585917537,Voice,5.185907754773294,Slow,False,False,Rainy,Afternoon,Black,Female,Medium,Senior,Casual,Short,High,72,True,False,True,Slow,Relaxed,Siberian Husky,87,Intermediate,Friendly,Small,Low,7.6265348991148425,2,Asian,Suburban,2.32443713838423
I_00000022,P_000391,D_000164,2025-05-25 16:34:48.554423,Vet,False,0.34867092916268577,None,0.0,None,1.4826144208984364,Normal,False,False,Rainy,Evening,Asian,Female,Light,Child,Traditional,Tall,Low,52,False,False,True,Normal,Tense,Bulldog,26,Basic,Calm,Small,Low,0.8786633093194274,2,White,Rural,2.5809253540076567
I_00000023,P_000101,D_000068,2025-03-14 16:34:48.554657,Street,True,0.5274486354746797,Medium,21.47552545670604,Appearance; Body Language,14.45234464918564,Slow,True,False,Cloudy,Morning,Middle Eastern,Non-binary,Medium,Middle-aged,Athletic,Average,Low,21,False,False,True,Slow,Tense,Siberian Husky,146,Basic,Friendly,Medium,Medium,6.87502092804416,3,Asian,Urban,3.9740645657684563
I_00000024,P_000504,D_000066,2025-05-01 16:34:48.554880,Home,False,0.5472013805653624,None,0.0,None,2.9550569463075607,Slow,True,False,Cloudy,Morning,Black,Male,Dark,Young Adult,Formal,Tall,Low,58,True,True,True,Slow,Nervous,Labrador,88,Basic,Friendly,Medium,Medium,6.172910760526177,4,Middle Eastern,Suburban,1.774096142250982
I_00000025,P_000104,D_000165,2025-03-08 16:34:48.555101,Vet,False,0.1806688403016442,None,0.0,None,3.7521822387959376,Slow,False,False,Rainy,Evening,White,Male,Light,Middle-aged,Casual,Tall,High,14,True,False,True,Slow,Tense,Bulldog,87,Intermediate,Shy,Medium,Low,9.41904972838329,3,Native American,Suburban,0.7786568796460323
I_00000026,P_000123,D_000032,2025-03-26 16:34:48.555327,Street,False,0.3183884147157987,None,0.0,None,14.736697058795803,Slow,False,False,Cloudy,Evening,Asian,Male,Medium,Middle-aged,Formal,Tall,Medium,19,False,True,True,Slow,Tense,German Shepherd,166,Advanced,Calm,Medium,Medium,9.274228364827623,1,Hispanic,Urban,2.9123040772703317
I_00000027,P_000238,D_000074,2024-12-07 16:34:48.555547,Park,False,0.30403126100278466,None,0.0,None,6.699562228589506,Slow,False,False,Rainy,Evening,Asian,Male,Medium,Middle-aged,Formal,Tall,Medium,68,False,False,True,Slow,Confident,Bulldog,62,Basic,Energetic,Medium,High,1.9301498540569861,4,Middle Eastern,Rural,3.04589052846083
I_00000028,P_000679,D_000087,2025-07-07 16:34:48.555769,Home,False,0.3442876375133598,None,0.0,None,11.613242886257241,Slow,False,False,Sunny,Evening,Black,Male,Dark,Senior,Traditional,Average,Low,21,False,False,True,Slow,Confident,Bulldog,48,Untrained,Calm,Medium,Medium,4.108092623743414,2,Black,Rural,3.9521089479520453
I_00000029,P_000942,D_000029,2025-07-14 16:34:48.555993,Street,False,0.356869935337644,None,0.0,None,18.083929546321595,Fast,False,True,Cloudy,Night,Native American,Male,Medium,Senior,Formal,Short,Medium,71,True,False,True,Fast,Tense,Poodle,51,Basic,Calm,Medium,Medium,9.738777670436397,1,Black,Urban,1.3145558465451874
I_00000030,P_000582,D_000173,2025-04-15 16:34:48.556213,Park,False,0.05488899473835099,None,0.0,None,10.5151589733769,Normal,True,True,Sunny,Evening,Native American,Female,Medium,Teen,Formal,Tall,High,76,False,True,True,Normal,Tense,Rottweiler,38,Advanced,Shy,Large,High,8.89185699840876,1,Hispanic,Rural,1.9031595290269412
I_00000031,P_000979,D_000037,2025-05-16 16:34:48.556444,Park,True,0.7925719572061258,Low,19.690755034187212,Appearance,15.600734837046978,Normal,False,True,Windy,Night,Native American,Male,Medium,Child,Traditional,Average,Low,37,False,False,False,Normal,Confident,Labrador,173,Untrained,Aggressive,Medium,Low,9.75604968589112,3,Hispanic,Rural,3.6023173461853832
I_00000032,P_000678,D_000125,2025-08-25 16:34:48.556670,Park,True,0.477216509752431,Low,12.172149679639823,Voice,11.213788993238222,Normal,False,False,Sunny,Afternoon,Asian,Non-binary,Medium,Young Adult,Alternative,Tall,High,61,False,False,True,Normal,Confident,Rottweiler,17,Intermediate,Friendly,Medium,Low,7.313450951852715,3,Native American,Suburban,1.7355849427552938
I_00000033,P_000443,D_000144,2024-11-13 16:34:48.556890,Park,False,0.13445109353738802,None,0.0,None,19.712744469966818,Slow,False,False,Sunny,Night,Asian,Female,Medium,Middle-aged,Athletic,Average,Low,13,False,False,True,Slow,Relaxed,Labrador,41,Intermediate,Shy,Small,Low,3.768355610161657,0,Middle Eastern,Suburban,1.4557850761246143
I_00000034,P_000623,D_000002,2025-05-25 16:34:48.557118,Park,False,0.5199932972330297,None,0.0,None,19.37977035839195,Fast,False,True,Rainy,Morning,Native American,Female,Light,Teen,Casual,Tall,Low,75,False,False,False,Fast,Nervous,German Shepherd,74,Untrained,Calm,Medium,Medium,4.825055913821133,3,White,Rural,1.6186634392782493
I_00000035,P_000254,D_000070,2024-11-16 16:34:48.557363,Street,True,0.40226368650121325,High,2.9432510074274525,Body Language,18.420641104031684,Normal,False,False,Sunny,Morning,Middle Eastern,Male,Dark,Child,Casual,Tall,Low,36,False,False,False,Normal,Tense,Bulldog,26,Basic,Shy,Medium,Medium,4.705050789923272,1,White,Urban,2.2936614644183093
I_00000036,P_000420,D_000153,2025-06-16 16:34:48.557587,Street,False,0.3407069890184703,None,0.0,None,19.188970724959294,Normal,False,False,Windy,Afternoon,Asian,Male,Medium,Young Adult,Traditional,Short,High,55,True,False,False,Normal,Nervous,German Shepherd,61,Intermediate,Calm,Medium,Medium,0.27631832855930627,2,White,Suburban,2.9109815180523273
I_00000037,P_000305,D_000002,2025-08-24 16:34:48.557815,Park,True,0.8314662298489851,Medium,12.07413857058709,Appearance; Movement,9.134681710773215,Fast,False,False,Windy,Evening,Asian,Male,Dark,Senior,Formal,Average,Medium,21,False,False,True,Fast,Relaxed,German Shepherd,74,Untrained,Calm,Medium,Medium,4.825055913821133,3,White,Rural,1.6186634392782493
I_00000038,P_000056,D_000062,2024-11-20 16:34:48.558047,Street,True,0.6115485559224317,Low,21.95539245952102,Appearance; Voice,1.4676837835909,Normal,False,True,Rainy,Afternoon,Asian,Female,Light,Middle-aged,Casual,Average,High,34,False,False,False,Normal,Nervous,Labrador,136,Untrained,Aggressive,Medium,Medium,6.095685338984641,1,Black,Urban,1.2372110279600532
I_00000039,P_000378,D_000191,2025-06-14 16:34:48.558274,Street,False,0.0,None,0.0,None,15.299553378816757,Normal,False,True,Sunny,Night,Middle Eastern,Female,Dark,Senior,Athletic,Short,High,35,False,False,True,Normal,Tense,Poodle,40,Advanced,Shy,Medium,Low,1.2271044393018116,2,Native American,Suburban,0.8505926418306546
I_00000040,P_000519,D_000125,2025-08-12 16:34:48.558495,Vet,False,0.32138253811751283,None,0.0,None,12.7032152192076,Fast,False,True,Rainy,Evening,White,Male,Light,Young Adult,Alternative,Average,Medium,66,False,False,False,Fast,Relaxed,Rottweiler,17,Intermediate,Friendly,Medium,Low,7.313450951852715,3,Native American,Suburban,1.7355849427552938
I_00000041,P_000980,D_000078,2025-01-25 16:34:48.558713,Street,False,0.06410632629773041,None,0.0,None,3.282685984468378,Normal,False,False,Cloudy,Afternoon,Native American,Non-binary,Light,Senior,Formal,Tall,Low,67,False,False,True,Normal,Confident,German Shepherd,12,Intermediate,Energetic,Small,High,4.5573581400848475,0,Hispanic,Rural,1.7745348668661194
I_00000042,P_000299,D_000025,2025-04-28 16:34:48.558936,Street,False,0.3463745948603342,None,0.0,None,2.291440187601504,Slow,False,False,Sunny,Night,Hispanic,Female,Light,Teen,Casual,Short,Medium,66,False,True,False,Slow,Nervous,Labrador,74,Untrained,Friendly,Medium,Medium,1.4369160726173391,2,Native American,Rural,1.6080872194442635
I_00000043,P_000110,D_000111,2024-12-16 16:34:48.559153,Park,False,0.557380717227544,None,0.0,None,17.84975162223097,Slow,False,False,Cloudy,Afternoon,White,Female,Light,Senior,Formal,Tall,High,60,True,True,False,Slow,Tense,Poodle,72,Untrained,Aggressive,Large,Low,1.749460136910298,0,White,Rural,1.7580575916378371
I_00000044,P_000235,D_000188,2025-01-31 16:34:48.559595,Home,False,0.8852267439275637,None,0.0,None,10.469294356133554,Normal,True,True,Rainy,Morning,Asian,Non-binary,Medium,Child,Athletic,Average,Low,61,True,False,True,Normal,Nervous,Labrador,88,Intermediate,Aggressive,Medium,Low,8.384127311673709,3,Black,Urban,3.29637715886811
I_00000045,P_000742,D_000039,2025-06-27 16:34:48.559948,Home,True,0.40544668054793165,Medium,21.196320762362948,Unknown,8.567851982764411,Slow,False,False,Windy,Morning,Black,Male,Medium,Senior,Athletic,Tall,Medium,56,True,False,True,Slow,Relaxed,Siberian Husky,164,Intermediate,Energetic,Large,Medium,0.41970503406067006,0,Hispanic,Urban,1.3306119647136188
I_00000046,P_000174,D_000190,2024-12-31 16:34:48.560215,Park,False,0.19543491882904837,None,0.0,None,11.79689537787251,Slow,False,True,Windy,Morning,Middle Eastern,Male,Medium,Senior,Traditional,Short,Low,64,False,False,True,Slow,Tense,Beagle,140,Intermediate,Energetic,Small,Medium,2.8157428585553026,2,Native American,Urban,0.5787231537243918
I_00000047,P_000997,D_000084,2024-12-10 16:34:48.560461,Park,False,0.0,None,0.0,None,8.576203322796811,Fast,False,True,Rainy,Night,Middle Eastern,Male,Dark,Senior,Traditional,Average,Medium,58,False,False,True,Fast,Relaxed,Rottweiler,101,Basic,Shy,Small,Medium,4.9383594065192336,1,Middle Eastern,Rural,1.611409801793683
I_00000048,P_000903,D_000123,2024-11-01 16:34:48.560722,Park,False,0.3881457121226205,None,0.0,None,14.877473401776317,Normal,False,True,Cloudy,Afternoon,Hispanic,Non-binary,Dark,Young Adult,Casual,Tall,Medium,48,False,False,False,Normal,Relaxed,Beagle,79,Intermediate,Friendly,Large,Low,4.41848087173857,0,Middle Eastern,Rural,2.03990818464833
I_00000049,P_000308,D_000058,2025-02-14 16:34:48.561013,Vet,False,0.549473866817209,None,0.0,None,8.645949134053712,Normal,False,False,Sunny,Morning,Black,Male,Medium,Teen,Athletic,Average,Medium,37,False,True,False,Normal,Tense,German Shepherd,35,Advanced,Energetic,Large,High,0.9101180688251698,4,White,Urban,2.336858626276594
I_00000050,P_000040,D_000088,2024-10-02 16:34:48.561249,Home,True,0.5152924636979185,High,1.9897682595373987,Appearance; Body Language; Voice,4.9898581154334325,Normal,True,False,Rainy,Night,Middle Eastern,Non-binary,Light,Middle-aged,Casual,Tall,High,57,False,False,True,Normal,Tense,German Shepherd,33,Advanced,Aggressive,Medium,High,5.959268121167338,4,Asian,Suburban,1.7473385066757088
I_00000051,P_000420,D_000148,2025-05-22 16:34:48.561473,Street,False,0.18159937752364885,None,0.0,None,15.11985850198569,Normal,False,False,Windy,Afternoon,Asian,Male,Medium,Young Adult,Traditional,Short,High,55,True,False,False,Normal,Nervous,German Shepherd,60,Intermediate,Friendly,Medium,Medium,4.403517738932523,2,Native American,Urban,1.61278765397388
I_00000052,P_000826,D_000174,2025-07-03 16:34:48.561690,Park,False,0.5839645615465778,None,0.0,None,15.545842231560975,Slow,False,False,Windy,Night,Hispanic,Non-binary,Light,Senior,Alternative,Short,Medium,54,False,False,True,Slow,Tense,Poodle,86,Untrained,Energetic,Small,Low,2.936764133584362,1,Middle Eastern,Rural,2.411086076622626
I_00000053,P_000370,D_000085,2025-06-21 16:34:48.561920,Vet,True,0.5720429474475871,Low,13.031890440738776,Appearance,13.126580721100375,Normal,False,True,Cloudy,Night,Hispanic,Non-binary,Dark,Child,Casual,Average,Medium,7,False,False,False,Normal,Relaxed,Golden Retriever,155,Basic,Energetic,Medium,Medium,2.3226572579752522,2,Middle Eastern,Suburban,1.705534009499785
I_00000054,P_000728,D_000051,2024-11-03 16:34:48.562138,Park,False,0.22496860348095138,None,0.0,None,11.693292938549396,Fast,True,True,Rainy,Evening,White,Female,Light,Young Adult,Casual,Average,Medium,47,False,False,False,Fast,Nervous,Labrador,70,Intermediate,Calm,Small,High,0.6212577072009573,0,Middle Eastern,Urban,3.5859943501285394
I_00000055,P_000119,D_000008,2025-01-21 16:34:48.562379,Vet,True,0.49376065354392273,Low,21.810189321266385,Movement,7.339111445232221,Fast,False,False,Windy,Evening,Asian,Non-binary,Medium,Teen,Formal,Average,Medium,33,False,True,False,Fast,Confident,Rottweiler,55,Basic,Friendly,Small,Medium,2.3179027761657967,0,White,Urban,2.0937744709652515
I_00000056,P_000470,D_000063,2025-04-02 16:34:48.562600,Park,False,0.40112317097056316,None,0.0,None,3.018869540030508,Fast,False,False,Rainy,Morning,Hispanic,Non-binary,Medium,Young Adult,Traditional,Tall,Medium,76,False,False,True,Fast,Confident,Labrador,128,Untrained,Shy,Medium,High,9.233846679907238,2,Middle Eastern,Rural,3.549154662226112
I_00000057,P_000163,D_000054,2024-11-08 16:34:48.562815,Vet,False,0.147220250241769,None,0.0,None,16.406875647564622,Slow,False,False,Windy,Evening,White,Female,Light,Middle-aged,Formal,Short,Medium,40,False,False,True,Slow,Tense,German Shepherd,101,Intermediate,Friendly,Large,Low,8.675572874455385,4,Hispanic,Suburban,3.4871823328427136
I_00000058,P_000623,D_000188,2025-09-18 16:34:48.563044,Street,True,0.6415334163966294,High,1.1621974800233725,Appearance; Movement,5.972772224209226,Fast,False,False,Sunny,Afternoon,Native American,Female,Light,Teen,Casual,Tall,Low,75,False,False,False,Fast,Nervous,Labrador,88,Intermediate,Aggressive,Medium,Low,8.384127311673709,3,Black,Urban,3.29637715886811
I_00000059,P_000267,D_000111,2025-05-31 16:34:48.563267,Home,False,0.6825377155472465,None,0.0,None,15.254638084003776,Slow,False,False,Windy,Morning,Hispanic,Female,Light,Middle-aged,Athletic,Short,High,11,False,False,True,Slow,Confident,Poodle,72,Untrained,Aggressive,Large,Low,1.749460136910298,0,White,Rural,1.7580575916378371
I_00000060,P_000409,D_000189,2025-06-23 16:34:48.563505,Park,False,0.47118900180626855,None,0.0,None,15.041963210965536,Fast,False,False,Windy,Morning,Native American,Female,Dark,Senior,Alternative,Tall,Low,47,True,False,True,Fast,Tense,Siberian Husky,101,Basic,Energetic,Large,High,5.517792837256954,0,Hispanic,Rural,2.6064796291623145
I_00000061,P_000517,D_000140,2024-10-21 16:34:48.563727,Park,False,0.0,None,0.0,None,8.640965312484846,Normal,True,True,Windy,Morning,White,Male,Medium,Senior,Athletic,Average,Medium,40,False,False,False,Normal,Confident,German Shepherd,89,Basic,Friendly,Large,Medium,2.9671130852868477,2,Native American,Urban,2.7276474799253396
I_00000062,P_000034,D_000014,2024-10-21 16:34:48.563961,Park,False,0.14244796653407638,None,0.0,None,9.611866591143105,Slow,False,False,Rainy,Afternoon,White,Male,Light,Middle-aged,Formal,Short,Low,28,False,False,True,Slow,Confident,Golden Retriever,106,Advanced,Aggressive,Medium,Low,9.619776547341258,2,Middle Eastern,Urban,2.2682926723058587
I_00000063,P_000333,D_000007,2024-11-15 16:34:48.564179,Park,False,0.5603109013031238,None,0.0,None,13.513389863410474,Fast,True,False,Windy,Afternoon,Asian,Female,Dark,Senior,Casual,Average,High,32,False,False,False,Fast,Tense,Poodle,174,Untrained,Shy,Medium,Medium,5.192800823952713,0,Hispanic,Urban,3.6104262517467944
I_00000064,P_000133,D_000089,2025-08-07 16:34:48.564413,Street,True,1.0,Low,18.308344560543503,Appearance; Movement,14.343925980778549,Fast,True,False,Rainy,Evening,Black,Female,Dark,Teen,Traditional,Average,Low,46,False,False,True,Fast,Relaxed,Golden Retriever,24,Untrained,Aggressive,Large,High,7.003063538838071,3,Black,Suburban,0.9715215578173226
I_00000065,P_000170,D_000033,2025-05-08 16:34:48.564643,Park,True,0.5515924730465672,High,26.572082337486723,Appearance,15.744060678226134,Slow,True,False,Sunny,Afternoon,Black,Female,Medium,Young Adult,Formal,Short,Low,60,True,False,True,Slow,Relaxed,Golden Retriever,170,Untrained,Friendly,Small,High,6.226260273619194,1,Native American,Suburban,2.7182266384013767
I_00000066,P_000073,D_000023,2025-06-06 16:34:48.564870,Vet,False,0.47809551688499363,None,0.0,None,9.94813873882233,Fast,False,False,Sunny,Afternoon,Native American,Non-binary,Light,Child,Casual,Short,High,70,False,False,False,Fast,Tense,Golden Retriever,44,Intermediate,Shy,Medium,Low,4.967701131271635,3,Black,Rural,2.6830978592483943
I_00000067,P_000910,D_000069,2025-08-26 16:34:48.565148,Vet,True,1.0,Low,29.64891451836675,Appearance; Movement,10.889737828912214,Fast,True,False,Cloudy,Night,Black,Male,Dark,Young Adult,Casual,Short,Low,30,False,False,False,Fast,Relaxed,Poodle,164,Intermediate,Aggressive,Medium,High,8.947492209757982,3,Middle Eastern,Rural,3.7709532539014865
I_00000068,P_000221,D_000114,2025-05-15 16:34:48.565376,Vet,False,0.49436680649186526,None,0.0,None,14.85381058414164,Slow,False,True,Cloudy,Morning,Native American,Non-binary,Dark,Teen,Alternative,Tall,High,73,True,False,True,Slow,Relaxed,German Shepherd,95,Basic,Energetic,Small,High,4.663029899818976,4,Native American,Urban,3.7594331959046823
I_00000069,P_000383,D_000115,2024-11-13 16:34:48.565594,Park,False,0.0012812750708054294,None,0.0,None,13.365335478446504,Normal,True,False,Cloudy,Morning,White,Female,Light,Middle-aged,Athletic,Tall,Medium,61,True,True,True,Normal,Relaxed,German Shepherd,15,Intermediate,Energetic,Large,High,6.658493646001281,0,Hispanic,Rural,2.111144446722415
I_00000070,P_000815,D_000164,2025-03-09 16:34:48.565810,Vet,False,0.45386651608651063,None,0.0,None,2.9036404380095426,Fast,False,False,Cloudy,Night,Middle Eastern,Male,Medium,Teen,Alternative,Tall,Low,69,True,False,False,Fast,Tense,Bulldog,26,Basic,Calm,Small,Low,0.8786633093194274,2,White,Rural,2.5809253540076567
I_00000071,P_000500,D_000001,2024-10-22 16:34:48.566032,Park,False,0.2737134567203314,None,0.0,None,14.849570791850036,Normal,False,False,Windy,Afternoon,Middle Eastern,Male,Medium,Child,Casual,Tall,Medium,60,False,False,False,Normal,Confident,Bulldog,99,Intermediate,Energetic,Large,Low,3.0259215266411577,3,White,Suburban,3.9023359762430885
I_00000072,P_000832,D_000102,2024-12-04 16:34:48.566252,Vet,False,0.5479744459264412,None,0.0,None,15.233775262790815,Fast,False,True,Cloudy,Afternoon,Asian,Male,Dark,Young Adult,Athletic,Tall,High,40,False,False,False,Fast,Relaxed,Bulldog,84,Basic,Friendly,Medium,Medium,4.651235991477796,1,Native American,Suburban,1.6368843841199414
I_00000073,P_000770,D_000193,2025-01-16 16:34:48.566469,Park,False,0.08215000637154254,None,0.0,None,7.46019178073,Normal,False,False,Windy,Afternoon,Asian,Male,Medium,Child,Formal,Average,Low,61,False,False,True,Normal,Relaxed,German Shepherd,95,Advanced,Shy,Medium,Low,9.502840501704856,1,Asian,Urban,3.348390650345465
I_00000074,P_000850,D_000164,2025-02-13 16:34:48.566698,Park,True,0.3836313950717437,Medium,9.49796383986392,Body Language,9.180003887736252,Normal,False,False,Windy,Night,Hispanic,Female,Dark,Young Adult,Formal,Short,Medium,47,False,False,True,Normal,Tense,Bulldog,26,Basic,Calm,Small,Low,0.8786633093194274,2,White,Rural,2.5809253540076567
